text,date,retweets,favorites,negative,neutral,positive,compound
"Footie pundit Trevor Sinclair selling Tesla sports car after drink driving ban: The ex-England international, .. http://dld.bz/gATRQ",2018-02-08 15:59:54,0,0,0.184,0.816,0.0,-0.5574
Será cierto?,2018-02-08 15:59:48,0,0,0.0,1.0,0.0,0.0
Elon Musk's Space Tesla Still Positioned For Mind-Blowing Fate Despite Overshooting Asteroid Belt - http://inq.cm/1pgy,2018-02-08 15:59:47,0,0,0.0,1.0,0.0,0.0
You're thinking a Tesla on Mars is cute. Then you realise it doesn't need to consume air like a normal car. pic.twitter.com/zp5LDVisnC,2018-02-08 15:59:44,0,1,0.0,0.766,0.234,0.6705
"This is the third time my model 3 has been delayed, maybe it’s the one they launched lol @ Tesla @ elonmuskpic.twitter.com/r3ZWLogcbh",2018-02-08 15:59:43,0,1,0.086,0.721,0.194,0.34
# Космос «Роскосмос» посчитал запуск Falcon Heavy рекламой Tesla http://texnomaniya.ru/roskosmos-poschital-zapusk-Falcon-Heavy-reklamoiy-Tesla …pic.twitter.com/j9KY0tEFLD,2018-02-08 15:59:42,0,0,0.0,1.0,0.0,0.0
Tesla Burns Through $2 Billion In 2017 http://bit.ly/2GZSdwQ,2018-02-08 15:59:41,0,0,0.0,1.0,0.0,0.0
"am I the only one confused by tesla? legit query. just made YouTube history, so brand awareness is thru-the-roof - but. ""money-losing tesla's long-term viability depends on annually selling billions of dollars of model 3's..."" (Car starts at 35k.)",2018-02-08 15:59:35,0,0,0.044,0.956,0.0,-0.1655
NASA Has Officially Listed Musk&#39;s Tesla Roadster As a Celestial Object https://gizmodo.com/nasa-has-officially-listed-musks-tesla-roadster-as-a-ce-1822843923about:invalid#zSoyz … This makes me smile,2018-02-08 15:59:34,0,0,0.0,0.848,0.152,0.3612
"Lifestyle: Someone spotted a Tesla Semi on a public road, but what's it doing? http://twib.in/l/MzRdrpxE7q67 # Laoluexpress # We-inform # LE-updates",2018-02-08 15:59:34,0,0,0.0,1.0,0.0,0.0
