text,date,retweets,favorites,negative,neutral,positive,compound
I am legitimately proud to be a Mileage Plus Member keep up the good work @ united https://twitter.com/jaysedavid/status/851223662976004096 …,2018-02-06 15:59:03,0,0,0.0,0.577,0.423,0.8316
"@ united if you fly pets, then fly them without discriminating! @ ZachSkow @ MarleysMutts # Kiera deserves to fly!! # dontjudge # boycottunited",2018-02-06 15:58:43,0,1,0.0,0.822,0.178,0.5684
Lmao,2018-02-06 15:57:51,0,0,0.0,0.0,1.0,0.5994
The generous 32-inch seat pitch we’ve installed in United’s Steerage Class optimizes Olympian performance. # UnitedAirlines # avgeek # Aviationhttps://twitter.com/united/status/960950314760208384 …,2018-02-06 15:57:28,1,1,0.0,0.711,0.289,0.7269
Thanks for sending these kudos our way. We're glad they went above and beyond. ^JR,2018-02-06 15:57:22,0,0,0.0,0.566,0.434,0.8481
"Man, you're trying to explain security stuff to a company that did this: https://krebsonsecurity.com/2016/08/united-airlines-sets-minimum-bar-on-security/ …",2018-02-06 15:57:17,0,1,0.0,0.833,0.167,0.34
@ guskenworthy @ united @ TeamUSA # bringhomethegold pic.twitter.com/n0VfEmokyg,2018-02-06 15:55:58,0,0,0.0,0.588,0.412,0.4215
Blame the peacock: @ united # Airlines’ new rules for emotional support animals. # traveltip # travel # jetsetter # aviation # ttothttp://ow.ly/Dy3g30iaNJV,2018-02-06 15:55:08,0,1,0.112,0.558,0.33,0.5719
Blame the peacock: @ united # Airlines’ new rules for emotional support animals. # traveltip # travel # jetsetter # aviation # ttot http://ow.ly/Dy3g30iaNJV,2018-02-06 15:55:06,0,0,0.107,0.578,0.316,0.5719
I mean its united- What do you expect? Good customer service?,2018-02-06 15:54:20,0,0,0.0,0.569,0.431,0.7236
"We had a wonderful time at our annual All Stars Conference and Awards. Thank you to our sponsors! # ctmcelebrates # evolYOUtion @ AmericanAir, @ ChoiceHotels, @ Delta, @ EHCareersGO, @ Hertz, @ IHG, @ lufthansa, @ Sabre_Corp, @ TravelGuard, @ united pic.twitter.com/xs8wqupBfz",2018-02-06 15:54:18,0,2,0.0,0.679,0.321,0.906
@ united There was an incoherent and rambling flight attendant on my flight from Houston to SFO last night. I don't understand why the pilot allowed her to repeatedly get back on the mike and make a fool out of herself and make an entire planeload of passengers uncomfortable.,2018-02-06 15:54:17,0,0,0.107,0.838,0.055,-0.4019
I like to think of this as the United Airlines Memorial Contract,2018-02-06 15:54:16,0,2,0.0,0.629,0.371,0.6486
