text,date,retweets,favorites,negative,neutral,positive,compound
I was supposed to be flying @ united but my flight got delayed too much so they switched me to @ AmericanAir & now it's delayed again,2017-04-05 16:59:42,0,2,0.177,0.752,0.071,-0.4215
"I'm sure united will make up for this long delay, free drink? Free movies? Flyer points??",2017-04-05 16:58:56,0,0,0.089,0.424,0.488,0.885
We very much care about women. United has not scheduled any paid advertisement during the O’Reilly Factor since 2016. ^TY,2017-04-05 16:57:49,1,1,0.0,0.741,0.259,0.7414
"@ united your gate agent just told all of us that you were getting us hotels, then we get to counter, nope. # UA1550 # poorservice # Lies # Miami",2017-04-05 16:56:50,0,0,0.0,0.818,0.182,0.6288
That doesn't look entertaining. Did you already alert a flight attendant? ^TY,2017-04-05 16:56:24,0,0,0.177,0.661,0.162,-0.0531
Could be worse?,2017-04-05 16:56:22,0,0,0.608,0.392,0.0,-0.4767
United Airlines http://dlvr.it/Npw7bc,2017-04-05 16:56:06,0,0,0.0,0.417,0.583,0.4215
@ united snacks and water at checking desk- should I switch to Jets Blue?z pic.twitter.com/mFb83V1EIc,2017-04-05 16:55:55,0,0,0.0,0.811,0.189,0.4215
"Stuck on a ORD, been on the plane for 30 mins waiting on maintance to look at a seat cushion @ united could be home by now",2017-04-05 16:53:59,0,0,0.075,0.821,0.104,0.2023
Hi Arjang. Can you DM more details of what's going on? ^SV,2017-04-05 16:53:41,0,0,0.0,1.0,0.0,0.0
Hi Nic. Did you make your connection or need help rebooking? ^SV ^SV,2017-04-05 16:51:58,0,0,0.0,0.816,0.184,0.4019
@ united Will plane be held at my connecting gate?,2017-04-05 16:51:31,0,0,0.0,0.741,0.259,0.4215
Wait - there was no @ United connection?? ;-?,2017-04-05 16:49:17,1,1,0.209,0.474,0.317,0.2824
@ united can you please get UA5791 from IAH to ATL back up on the boards. We had to deplane. It would be nice to get updates. App wrong too,2017-04-05 16:48:19,0,0,0.086,0.694,0.219,0.5859
Have a wonderful time! ^SV ^SV,2017-04-05 16:46:44,0,0,0.0,0.501,0.499,0.6114
"# UnitedAirlines to LAX (@Gate C10 in Chicago, IL) https://www.swarmapp.com/c/jzlUaPB9pu4",2017-04-05 16:46:27,0,0,0.0,1.0,0.0,0.0
pic.twitter.com/YIM3Lb4k9f,2017-04-05 16:46:06,0,0,0.0,1.0,0.0,0.0
"Hi Charles. We only allow status matches/one-time exceptions to MileagePlus accounts, once every five years. ^SV ^SV",2017-04-05 16:45:51,0,0,0.0,0.894,0.106,0.2263
When @ united in flight entertainment crashes pic.twitter.com/F9yTowxJ2D,2017-04-05 16:45:21,0,2,0.0,0.472,0.528,0.6808
"Oh and thanks for you know, a glass of water or anything like that",2017-04-05 16:45:00,0,0,0.0,0.671,0.329,0.6597
# unitedAIRLINES a four hour delay with delay notification I. 20 min intervals. Not even a bottle of water offered. Still waiting. pic.twitter.com/ZHqF4PbeE3,2017-04-05 16:44:28,0,0,0.204,0.796,0.0,-0.5574
Window seats have their perks # sunset @ united pic.twitter.com/aAXxUmdsm5,2017-04-05 16:44:15,0,8,0.0,0.714,0.286,0.4215
Have been through my impressed with the Butteyan De Kebab at @ united.kitchens.of.india which has been a standard... http://fb.me/VzfB2Z4o,2017-04-05 16:43:25,0,0,0.0,0.838,0.162,0.4767
Have been through my impressed with the Butteyan De Kebab at @ united.kitchens.of.india which has been a standard o… http://ift.tt/2obCsvR pic.twitter.com/kkQ8X2axsR,2017-04-05 16:43:23,0,0,0.0,0.846,0.154,0.4767
"I cannot specifically say. Our advertising team is aware and looking into it, as we haven't scheduled anything. ^SV ^SV",2017-04-05 16:41:47,0,0,0.0,1.0,0.0,0.0
Very nice. How is the United Club treating you? ^TY,2017-04-05 16:41:38,0,0,0.0,0.576,0.424,0.7089
I'll have to check Starbucks!!!,2017-04-05 16:39:05,0,0,0.0,1.0,0.0,0.0
Now I just have to convince my husband that spending 20 dollars on them is good money management,2017-04-05 16:38:47,0,2,0.0,0.754,0.246,0.5994
Thanks for staying positive. We appreciate your positive outlook. ^JR,2017-04-05 16:37:55,0,1,0.0,0.319,0.681,0.9153
let's import Esmeralda/ayalde as much as possible and kick JIHAT laden @ tuoitrenewsvn @ united,2017-04-05 16:37:45,0,0,0.0,0.811,0.189,0.4215
No. Still no on board announcements at all.,2017-04-05 16:37:18,0,0,0.423,0.577,0.0,-0.5267
"Dinner @ united club thanks for the tip @ b96tyler unlimited fountain drinks and cookies! Work, dinner, wifi.... http://fb.me/15ktdGCsl",2017-04-05 16:37:07,0,4,0.0,0.715,0.285,0.7177
. @ united what about ads on @ FoxNews which enables him??,2017-04-05 16:36:34,0,0,0.0,0.717,0.283,0.4871
@ united My wife is on UAL439 and connecting to UAL627. Connection time looks to be 17 minutes...any chance she will make it?,2017-04-05 16:36:31,0,0,0.0,0.806,0.194,0.5859
I hate that - has happened to me multiple times recently. Don't ya just love spring?,2017-04-05 16:36:06,0,0,0.371,0.629,0.0,-0.7946
We do regret the inconvenience. Please DM us if you need assistance with your reservation. ^TY,2017-04-05 16:34:19,0,0,0.257,0.631,0.112,-0.4588
Love Texas. Friendly people and so much to do and see!,2017-04-05 16:33:50,0,1,0.0,0.539,0.461,0.8268
"@ united I don't understand-great flight, outstanding service but again no entertainment system. 3 of my last 4 flights!!",2017-04-05 16:33:42,0,0,0.222,0.498,0.28,0.3125
@ united your team is hitting home runs today!!! The attendants on #733 from DEN to SFO was aces! And obvs the pilot(s) too!,2017-04-05 16:32:25,0,0,0.0,0.847,0.153,0.6083
The crew was great so it's all good. And we landed safely so what more can we ask for?,2017-04-05 16:32:12,0,0,0.0,0.605,0.395,0.8876
"@ united I was given bad info by your call center on a refund credit, now I'm told it will expire before I can use it. Please help resolve!!",2017-04-05 16:32:07,0,0,0.097,0.527,0.376,0.8436
Woohoo! Met up with @ alexredfit and we are all set to go! But flight is delayed. # unitedairlines # delayedagain... http://fb.me/VgaXJDFY,2017-04-05 16:32:04,0,1,0.083,0.746,0.17,0.4559
Woohoo! Met up with alexredfit and we are all set to go! But flight is delayed. # unitedairlines… https://www.instagram.com/p/BSha-GOjgy8/,2017-04-05 16:31:59,0,1,0.087,0.734,0.178,0.4559
Porirua Bombers take on Orewa Sharks in pool play of the United Airlines U13 Ripken Baseball nationals http://fb.me/PBWAinPZ,2017-04-05 16:31:37,0,1,0.0,0.755,0.245,0.6369
"Social Media can't, however we wish you an enjoyable flight. ^JR",2017-04-05 16:30:56,0,0,0.159,0.636,0.205,0.1635
Southwest is the best!! Never had a problem with them,2017-04-05 16:30:48,0,1,0.186,0.483,0.33,0.4738
"Watching a dozen or so Navy recruits (so no uniforms) board flight first was heartwarming. Well done, @ united.",2017-04-05 16:30:26,0,1,0.095,0.56,0.345,0.7003
We regret the delay. Do you have a connection you're in danger of missing? ^TY,2017-04-05 16:29:40,0,0,0.517,0.483,0.0,-0.8658
Just DMed you,2017-04-05 16:29:14,0,0,0.0,1.0,0.0,0.0
"Absolutely no staff @ United premier access check in counter in Austin, TX ~1hr b4 flight # fail # travelwoeshttps://www.swarmapp.com/c/8lBq0A6vnHV",2017-04-05 16:28:58,0,0,0.237,0.514,0.249,0.0782
We can check for you. What is your confirmation number? ^TYhttps://twitter.com/messages/compose?recipient_id=260907612 …,2017-04-05 16:28:38,0,0,0.0,0.858,0.142,0.168
"# u13nats United Airlines U13 Nationals day one, S. Astros 10 - Bayside 1, Counties 16 - Central City 7. http://fb.me/O3Gd9f4g",2017-04-05 16:28:08,0,0,0.0,0.859,0.141,0.4215
Free booze me up for it!,2017-04-05 16:27:57,0,0,0.0,0.582,0.418,0.5562
I think I got on the 10;30pm from IAD to ORD. But can't check-in or get a seat assignment on app b/c it still has my DCA reservation,2017-04-05 16:27:44,0,0,0.0,1.0,0.0,0.0
". @ texastourism, it's been a blast. See you all tomorrow as we head to New Orleans! # sun7USA @ flightcentreau @ united pic.twitter.com/GcdgdrTwj9",2017-04-05 16:27:10,4,23,0.0,0.846,0.154,0.4753
United Airlines and American Airlines in heated on-time arrival fight: http://bizj.us/1p4isy,2017-04-05 16:27:00,0,1,0.181,0.625,0.194,0.0516
